ENST00000390514	TRAJ23
ENST00000390484	TRAJ54
ENST00000390467	TRAV40
ENST00000390460	TRAV26-2
ENST00000390423	TRAV1-2
ENST00000390497	TRAJ40
ENST00000390491	TRAJ46
ENST00000390494	TRAJ43
ENST00000633780	TRBJ1-3
ENST00000632041	TRBJ1-4
ENST00000390415	TRBJ2-3
ENST00000390487	TRAJ50
ENST00000390509	TRAJ28
ENST00000390496	TRAJ41
ENST00000390506	TRAJ31
ENST00000390510	TRAJ27
ENST00000390463	TRAV36DV7
ENST00000498804	TRBVA
ENST00000390414	TRBJ2-2P
ENST00000390515	TRAJ22
ENST00000390466	TRAV39
ENST00000634000	TRBJ1-5
ENST00000390498	TRAJ39
ENST00000390508	TRAJ29
ENST00000390529	TRAJ8
ENST00000390531	TRAJ6
ENST00000611116	TRAC
ENST00000390480	TRAJ59
ENST00000612375	TRAJ37
ENST00000390481	TRAJ58
ENST00000390461	TRAV34
ENST00000509135	TRAJ55
ENST00000390528	TRAJ9
ENST00000390527	TRAJ10
ENST00000390536	TRAJ1
ENST00000390526	TRAJ11
ENST00000390464	TRAV38-1
ENST00000390523	TRAJ14
ENST00000390468	TRAV41
ENST00000614481	TRAJ36
ENST00000390465	TRAV38-2DV8
ENST00000390517	TRAJ20
ENST00000390533	TRAJ4
ENST00000390493	TRAJ44
ENST00000390513	TRAJ24
ENST00000390504	TRAJ33
ENST00000390507	TRAJ30
ENST00000390519	TRAJ18
ENST00000390495	TRAJ42
ENST00000390518	TRAJ19
ENST00000390488	TRAJ49
ENST00000390524	TRAJ13
ENST00000390511	TRAJ26
ENST00000390503	TRAJ34
ENST00000390489	TRAJ48
ENST00000390499	TRAJ38
ENST00000477100	TRBVB
ENST00000390462	TRAV35
ENST00000390418	TRBJ2-6
ENST00000633713	TRBJ1-6
ENST00000390516	TRAJ21
ENST00000390521	TRAJ16
ENST00000390535	TRAJ2
ENST00000390520	TRAJ17
ENST00000390525	TRAJ12
ENST00000390424	TRAV2
ENST00000390425	TRAV3
ENST00000390426	TRAV4
ENST00000390427	TRAV5
ENST00000390428	TRAV6
ENST00000390429	TRAV7
ENST00000390430	TRAV8-1
ENST00000390431	TRAV9-1
ENST00000379435	TRBV20OR9-2
ENST00000331828	TRBV21OR9-2
ENST00000390432	TRAV10
ENST00000417977	TRBV30
ENST00000390374	TRBV7-6
ENST00000390375	TRBV5-6
ENST00000390376	TRBV6-8
ENST00000390377	TRBV7-7
ENST00000390378	TRBV5-7
ENST00000390455	TRAV26-1
ENST00000539512	TRAV11
ENST00000390433	TRAV12-1
ENST00000390434	TRAV8-2
ENST00000390456	TRAV8-7
ENST00000390435	TRAV8-3
ENST00000390436	TRAV13-1
ENST00000612787	TRBV7-9
ENST00000614171	TRBV13
ENST00000390437	TRAV12-2
ENST00000390438	TRAV8-4
ENST00000537369	TRAV8-5
ENST00000390439	TRAV13-2
ENST00000390440	TRAV14DV4
ENST00000390441	TRAV9-2
ENST00000556680	TRAV15
ENST00000390442	TRAV12-3
ENST00000611462	TRBV10-3
ENST00000611787	TRBV11-3
ENST00000620569	TRBV12-3
ENST00000617347	TRBV12-4
ENST00000441373	TRBV22OR9-2
ENST00000621184	TRBV12-5
ENST00000617639	TRBV14
ENST00000390389	TRBV23OR9-2
ENST00000416632	TRBV24OR9-2
ENST00000616518	TRBV15
ENST00000390443	TRAV8-6
ENST00000620773	TRBV16
ENST00000390457	TRAV27
ENST00000390444	TRAV16
ENST00000390445	TRAV17
ENST00000557548	TRAV28
ENST00000619103	TRBV17
ENST00000611520	TRBV18
ENST00000390393	TRBV19
ENST00000390394	TRBV20-1
ENST00000453262	TRBV21-1
ENST00000424543	TRBV22-1
ENST00000390396	TRBV23-1
ENST00000390397	TRBV24-1
ENST00000390446	TRAV18
ENST00000390447	TRAV19
ENST00000390448	TRAV20
ENST00000390449	TRAV21
ENST00000390450	TRAV22
ENST00000390451	TRAV23DV6
ENST00000390453	TRAV24
ENST00000390454	TRAV25
ENST00000390458	TRAV29DV5
ENST00000557168	TRAV30
ENST00000502780	TRAV31
ENST00000553993	TRAV32
ENST00000438417	TRBV25OR9-2
ENST00000557514	TRAV33
ENST00000432077	TRBV26OR9-2
ENST00000390534	TRAJ3
ENST00000390505	TRAJ32
ENST00000553906	TRAV37
ENST00000390486	TRAJ52
ENST00000390482	TRAJ57
ENST00000442641	TRAJ60
ENST00000390502	TRAJ35
ENST00000390485	TRAJ53
ENST00000504127	TRAJ51
ENST00000390532	TRAJ5
ENST00000390530	TRAJ7
ENST00000390490	TRAJ47
ENST00000390512	TRAJ25
ENST00000390483	TRAJ56
ENST00000390492	TRAJ45
ENST00000390479	TRAJ61
ENST00000542354	TRAV1-1
ENST00000427589	TRBV29OR9-2
ENST00000390400	TRBV28
ENST00000633705	TRBC1
ENST00000633553	TRBJ1-2
ENST00000632951	TRBJ1-1
ENST00000390416	TRBJ2-4
ENST00000390419	TRBJ2-7
ENST00000390412	TRBJ2-1
ENST00000422143	TRBV29-1
ENST00000466254	TRBC2
ENST00000390417	TRBJ2-5
ENST00000390413	TRBJ2-2
ENST00000456572	TRBV26
ENST00000390399	TRBV27
ENST00000476502	TRBV1
ENST00000455382	TRBV2
ENST00000390387	TRBV3-1
ENST00000390357	TRBV4-1
ENST00000390381	TRBV5-1
ENST00000390353	TRBV6-1
ENST00000547918	TRBV7-1
ENST00000390392	TRBV4-2
ENST00000481590	TRBV8-1
ENST00000489095	TRBV5-2
ENST00000390360	TRBV6-4
ENST00000390361	TRBV7-3
ENST00000475637	TRBV8-2
ENST00000390362	TRBV5-3
ENST00000390363	TRBV9
ENST00000390364	TRBV10-1
ENST00000390367	TRBV11-1
ENST00000479785	TRBV12-1
ENST00000426318	TRBV10-2
ENST00000471935	TRBV11-2
ENST00000489763	TRBV12-2
ENST00000390368	TRBV6-5
ENST00000390369	TRBV7-4
ENST00000454561	TRBV5-4
ENST00000390371	TRBV6-6
ENST00000390382	TRBV7-5
ENST00000390372	TRBV5-5
ENST00000390373	TRBV6-7
TRAJ15	TRAJ15
ENST00000632016	TRBV6-2
ENST00000631392	TRBV7-2
ENST00000390398	TRBV25-1
